[ 2026-01-20 16:45:16,387 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-01-20 16:45:41,335 ] root - INFO - Entered the start_data_ingestion method of TrainPipeline class
[ 2026-01-20 16:45:41,335 ] root - INFO - Getting the data from mongodb
[ 2026-01-20 16:45:41,336 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-01-20 16:45:41,336 ] root - INFO - Exporting data from mongodb
[ 2026-01-20 16:45:41,336 ] root - ERROR - Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\configuration\mongo_db_connection.py] at line number [51]: Environment variable 'MONGODB_URL' is not set.
[ 2026-01-20 16:45:41,337 ] root - ERROR - Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\data_access\proj1_data.py] at line number [20]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\configuration\mongo_db_connection.py] at line number [51]: Environment variable 'MONGODB_URL' is not set.
[ 2026-01-20 16:45:41,337 ] root - ERROR - Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [36]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\data_access\proj1_data.py] at line number [20]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\configuration\mongo_db_connection.py] at line number [51]: Environment variable 'MONGODB_URL' is not set.
[ 2026-01-20 16:45:41,337 ] root - ERROR - Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [100]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [36]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\data_access\proj1_data.py] at line number [20]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\configuration\mongo_db_connection.py] at line number [51]: Environment variable 'MONGODB_URL' is not set.
[ 2026-01-20 16:45:41,338 ] root - ERROR - Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\pipline\training_pipeline.py] at line number [45]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [100]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [36]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\data_access\proj1_data.py] at line number [20]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\configuration\mongo_db_connection.py] at line number [51]: Environment variable 'MONGODB_URL' is not set.
[ 2026-01-20 16:45:41,338 ] root - ERROR - Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\pipline\training_pipeline.py] at line number [140]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\pipline\training_pipeline.py] at line number [45]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [100]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\components\data_ingestion.py] at line number [36]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\data_access\proj1_data.py] at line number [20]: Error occurred in python script: [C:\Users\kavet\OneDrive\Desktop\github\src\configuration\mongo_db_connection.py] at line number [51]: Environment variable 'MONGODB_URL' is not set.
